MEMBER_ID,MEMBER_NAME,MEMBER_DOB,MEMBER_EMPLOYMENT,MEMBER_GENDER,MEMBER_CITY_TOWN,MEMBER_STATE,MEMBER_CONTACT_VERIFIED,PORTFOLIO,INTITIAL_INVVESTMENT,ORG_INVST,TEMP_OPTIMIZED
MID006127,Deeanna Lipkin,27-11-1976,University of Technology Sydney,Female,Hahndorf,South Australia,Y,"['OOGGL', 'DMC', 'PG', 'ABC', 'ONH', 'OCST']",11000,"{'Initial Investment': '$11,000.00', 'Expected Final Portfolio Value': '$13,639.81', 'Median Final Portfolio Value': '$13,250.16', 'Standard Deviation of Final Portfolio Value': '$2,845.49', 'Value at Risk (VaR 95%)': '$1,566.77', 'Conditional Value at Risk (CVaR 95%)': '$2,466.06', 'Probability of Loss': '17.00%', 'Sharpe Ratio': '0.9277'}","[{'Initial Investment': '$11,000.00', 'Expected Final Portfolio Value': '$14,107.76', 'Median Final Portfolio Value': '$13,723.91', 'Standard Deviation of Final Portfolio Value': '$2,783.39', 'Value at Risk (VaR 95%)': '$968.70', 'Conditional Value at Risk (CVaR 95%)': '$1,847.80', 'Probability of Loss': '10.60%', 'Sharpe Ratio': '1.1165'}, array([6.08993011e+02, 3.66657168e+03, 4.22887266e+02, 2.10646930e-12,
       1.82144339e+03, 0.00000000e+00, 4.48010465e+03])]"
MID006128,Malinda Saylors,08-03-1995,University of Southern Queensland,Male,Boulder,Western Australia,N,"['MTFS', 'ABT', 'PG']",50000,"{'Initial Investment': '$50,000.00', 'Expected Final Portfolio Value': '$60,977.12', 'Median Final Portfolio Value': '$59,558.14', 'Standard Deviation of Final Portfolio Value': '$13,029.04', 'Value at Risk (VaR 95%)': '$7,855.35', 'Conditional Value at Risk (CVaR 95%)': '$10,464.56', 'Probability of Loss': '19.60%', 'Sharpe Ratio': '0.8425'}","[{'Initial Investment': '$50,000.00', 'Expected Final Portfolio Value': '$65,906.49', 'Median Final Portfolio Value': '$64,507.06', 'Standard Deviation of Final Portfolio Value': '$13,922.49', 'Value at Risk (VaR 95%)': '$5,139.06', 'Conditional Value at Risk (CVaR 95%)': '$7,749.60', 'Probability of Loss': '11.00%', 'Sharpe Ratio': '1.1425'}, array([2.76815005e+03, 1.66662349e+04, 1.92221484e+03, 9.57486044e-12,
       8.27928815e+03, 0.00000000e+00, 2.03641120e+04])]"
MID006129,Teri Blunk,28-07-1984,Deakin University,Male,Canowindra,New South Wales,N,"['NTIC', 'OOGGL', 'SM']",5000,"{'Initial Investment': '$5,000.00', 'Expected Final Portfolio Value': '$6,037.05', 'Median Final Portfolio Value': '$5,997.43', 'Standard Deviation of Final Portfolio Value': '$1,204.71', 'Value at Risk (VaR 95%)': '$767.53', 'Conditional Value at Risk (CVaR 95%)': '$1,055.46', 'Probability of Loss': '21.20%', 'Sharpe Ratio': '0.8608'}","[{'Initial Investment': '$5,000.00', 'Expected Final Portfolio Value': '$6,391.17', 'Median Final Portfolio Value': '$6,243.22', 'Standard Deviation of Final Portfolio Value': '$1,301.95', 'Value at Risk (VaR 95%)': '$521.67', 'Conditional Value at Risk (CVaR 95%)': '$836.12', 'Probability of Loss': '14.00%', 'Sharpe Ratio': '1.0685'}, array([2.76815005e+02, 1.66662349e+03, 1.92221484e+02, 9.57486044e-13,
       8.27928815e+02, 0.00000000e+00, 2.03641120e+03])]"
MID006130,Annelle Scheyer,01-09-1997,The University of Adelaide,Male,Victor Harbor,South Australia,Y,"['OCST', 'SM', 'ABT']",1000,"{'Initial Investment': '$1,000.00', 'Expected Final Portfolio Value': '$1,218.84', 'Median Final Portfolio Value': '$1,185.45', 'Standard Deviation of Final Portfolio Value': '$246.87', 'Value at Risk (VaR 95%)': '$125.91', 'Conditional Value at Risk (CVaR 95%)': '$197.54', 'Probability of Loss': '18.40%', 'Sharpe Ratio': '0.8865'}","[{'Initial Investment': '$1,000.00', 'Expected Final Portfolio Value': '$1,291.62', 'Median Final Portfolio Value': '$1,272.96', 'Standard Deviation of Final Portfolio Value': '$280.95', 'Value at Risk (VaR 95%)': '$134.24', 'Conditional Value at Risk (CVaR 95%)': '$185.17', 'Probability of Loss': '14.60%', 'Sharpe Ratio': '1.0380'}, array([5.53630010e+01, 3.33324698e+02, 3.84442969e+01, 1.91497209e-13,
       1.65585763e+02, 0.00000000e+00, 4.07282241e+02])]"
MID006131,Rolland Nachor,15-12-1998,Victoria University,Male,Katoomba,New South Wales,N,"['ONH', 'NTIC', 'PEP', 'MTFS']",90000,"{'Initial Investment': '$90,000.00', 'Expected Final Portfolio Value': '$110,107.82', 'Median Final Portfolio Value': '$107,792.43', 'Standard Deviation of Final Portfolio Value': '$22,749.06', 'Value at Risk (VaR 95%)': '$13,453.73', 'Conditional Value at Risk (CVaR 95%)': '$21,088.67', 'Probability of Loss': '18.40%', 'Sharpe Ratio': '0.8839'}","[{'Initial Investment': '$90,000.00', 'Expected Final Portfolio Value': '$117,297.38', 'Median Final Portfolio Value': '$114,020.41', 'Standard Deviation of Final Portfolio Value': '$25,249.53', 'Value at Risk (VaR 95%)': '$7,053.23', 'Conditional Value at Risk (CVaR 95%)': '$13,145.65', 'Probability of Loss': '12.80%', 'Sharpe Ratio': '1.0811'}, array([4.98267009e+03, 2.99992228e+04, 3.45998672e+03, 1.72347488e-11,
       1.49027187e+04, 0.00000000e+00, 3.66554017e+04])]"
MID006132,Glenna Silvestrini,19-09-1980,Swinburne University of Technology,Male,Whittlesea,Victoria,N,"['ONH', 'ALPA', 'OK', 'DMC', 'MTFS']",45000,"{'Initial Investment': '$45,000.00', 'Expected Final Portfolio Value': '$55,493.86', 'Median Final Portfolio Value': '$53,793.64', 'Standard Deviation of Final Portfolio Value': '$11,726.72', 'Value at Risk (VaR 95%)': '$6,440.66', 'Conditional Value at Risk (CVaR 95%)': '$10,267.96', 'Probability of Loss': '17.60%', 'Sharpe Ratio': '0.8949'}","[{'Initial Investment': '$45,000.00', 'Expected Final Portfolio Value': '$57,693.80', 'Median Final Portfolio Value': '$56,810.72', 'Standard Deviation of Final Portfolio Value': '$11,521.16', 'Value at Risk (VaR 95%)': '$4,498.40', 'Conditional Value at Risk (CVaR 95%)': '$7,818.40', 'Probability of Loss': '12.80%', 'Sharpe Ratio': '1.1018'}, array([2.49133505e+03, 1.49996114e+04, 1.72999336e+03, 8.61737439e-12,
       7.45135934e+03, 0.00000000e+00, 1.83277008e+04])]"
MID006133,Arlene Uyetake,11-08-1996,Australian Catholic University,Female,Brisbane,Queensland,N,"['TCA', 'JJN', 'CCSO', 'EPF', 'MPJ', 'OCST']",1000000,"{'Initial Investment': '$1,000,000.00', 'Expected Final Portfolio Value': '$1,230,914.82', 'Median Final Portfolio Value': '$1,199,147.43', 'Standard Deviation of Final Portfolio Value': '$249,922.14', 'Value at Risk (VaR 95%)': '$148,192.04', 'Conditional Value at Risk (CVaR 95%)': '$228,636.53', 'Probability of Loss': '15.20%', 'Sharpe Ratio': '0.9239'}","[{'Initial Investment': '$1,000,000.00', 'Expected Final Portfolio Value': '$1,300,899.07', 'Median Final Portfolio Value': '$1,275,450.44', 'Standard Deviation of Final Portfolio Value': '$276,020.59', 'Value at Risk (VaR 95%)': '$86,355.79', 'Conditional Value at Risk (CVaR 95%)': '$164,054.15', 'Probability of Loss': '13.40%', 'Sharpe Ratio': '1.0901'}, array([5.53630010e+04, 3.33324698e+05, 3.84442969e+04, 1.91497209e-10,
       1.65585763e+05, 0.00000000e+00, 4.07282241e+05])]"
MID006134,Filiberto Lietz,27-06-1991,Charles Darwin University,Female,Paynesville,Victoria,N,"['ALPA', 'NTIC', 'GMNA']",49000,"{'Initial Investment': '$49,000.00', 'Expected Final Portfolio Value': '$60,279.20', 'Median Final Portfolio Value': '$58,406.17', 'Standard Deviation of Final Portfolio Value': '$12,100.88', 'Value at Risk (VaR 95%)': '$6,380.50', 'Conditional Value at Risk (CVaR 95%)': '$9,210.17', 'Probability of Loss': '17.20%', 'Sharpe Ratio': '0.9321'}","[{'Initial Investment': '$49,000.00', 'Expected Final Portfolio Value': '$62,290.89', 'Median Final Portfolio Value': '$61,259.31', 'Standard Deviation of Final Portfolio Value': '$12,379.67', 'Value at Risk (VaR 95%)': '$5,067.64', 'Conditional Value at Risk (CVaR 95%)': '$9,015.78', 'Probability of Loss': '13.00%', 'Sharpe Ratio': '1.0736'}, array([2.71278705e+03, 1.63329102e+04, 1.88377055e+03, 9.38336323e-12,
       8.11370239e+03, 0.00000000e+00, 1.99568298e+04])]"
MID006135,Lorrie Weight,11-06-1985,Murdoch University,Female,Burpengary,Queensland,Y,"['PG', 'NEK', 'TCA', 'DMC', 'ABC', 'LTSA', 'TWM', 'OOGGL', 'CCSO']",1000,"{'Initial Investment': '$1,000.00', 'Expected Final Portfolio Value': '$1,221.24', 'Median Final Portfolio Value': '$1,180.46', 'Standard Deviation of Final Portfolio Value': '$263.05', 'Value at Risk (VaR 95%)': '$139.99', 'Conditional Value at Risk (CVaR 95%)': '$205.19', 'Probability of Loss': '19.60%', 'Sharpe Ratio': '0.8411'}","[{'Initial Investment': '$1,000.00', 'Expected Final Portfolio Value': '$1,300.91', 'Median Final Portfolio Value': '$1,266.35', 'Standard Deviation of Final Portfolio Value': '$290.19', 'Value at Risk (VaR 95%)': '$91.92', 'Conditional Value at Risk (CVaR 95%)': '$169.58', 'Probability of Loss': '14.40%', 'Sharpe Ratio': '1.0369'}, array([5.53630010e+01, 3.33324698e+02, 3.84442969e+01, 1.91497209e-13,
       1.65585763e+02, 0.00000000e+00, 4.07282241e+02])]"
MID006136,Micaela Hollack,31-12-1997,Charles Darwin University,Male,Picton,New South Wales,N,"['PEP', 'GMNA', 'PG', 'FWC', 'ONH']",40000,"{'Initial Investment': '$40,000.00', 'Expected Final Portfolio Value': '$48,834.37', 'Median Final Portfolio Value': '$47,665.45', 'Standard Deviation of Final Portfolio Value': '$10,388.00', 'Value at Risk (VaR 95%)': '$6,327.49', 'Conditional Value at Risk (CVaR 95%)': '$9,206.57', 'Probability of Loss': '20.40%', 'Sharpe Ratio': '0.8504'}","[{'Initial Investment': '$40,000.00', 'Expected Final Portfolio Value': '$52,426.42', 'Median Final Portfolio Value': '$51,284.44', 'Standard Deviation of Final Portfolio Value': '$11,587.44', 'Value at Risk (VaR 95%)': '$4,465.97', 'Conditional Value at Risk (CVaR 95%)': '$6,930.14', 'Probability of Loss': '13.80%', 'Sharpe Ratio': '1.0724'}, array([2.21452004e+03, 1.33329879e+04, 1.53777188e+03, 7.65988835e-12,
       6.62343052e+03, 0.00000000e+00, 1.62912896e+04])]"
MID006137,Kattie Malvin,17-10-1987,Bond University,Male,Kyabram,Victoria,N,"['LTSA', 'NTIC', 'CCSO']",1000000,"{'Initial Investment': '$1,000,000.00', 'Expected Final Portfolio Value': '$1,241,280.99', 'Median Final Portfolio Value': '$1,208,925.86', 'Standard Deviation of Final Portfolio Value': '$270,544.59', 'Value at Risk (VaR 95%)': '$141,932.96', 'Conditional Value at Risk (CVaR 95%)': '$200,548.22', 'Probability of Loss': '16.40%', 'Sharpe Ratio': '0.8918'}","[{'Initial Investment': '$1,000,000.00', 'Expected Final Portfolio Value': '$1,303,804.87', 'Median Final Portfolio Value': '$1,289,298.04', 'Standard Deviation of Final Portfolio Value': '$282,657.40', 'Value at Risk (VaR 95%)': '$121,663.46', 'Conditional Value at Risk (CVaR 95%)': '$185,145.59', 'Probability of Loss': '14.00%', 'Sharpe Ratio': '1.0748'}, array([5.53630010e+04, 3.33324698e+05, 3.84442969e+04, 1.91497209e-10,
       1.65585763e+05, 0.00000000e+00, 4.07282241e+05])]"
MID006138,Golda Farrow,17-10-1970,The University of Adelaide,Male,Cannonvale,Queensland,N,"['ALPA', 'GS', 'ABC']",69000,"{'Initial Investment': '$69,000.00', 'Expected Final Portfolio Value': '$85,332.63', 'Median Final Portfolio Value': '$83,489.28', 'Standard Deviation of Final Portfolio Value': '$18,921.46', 'Value at Risk (VaR 95%)': '$10,990.46', 'Conditional Value at Risk (CVaR 95%)': '$15,140.22', 'Probability of Loss': '19.40%', 'Sharpe Ratio': '0.8632'}","[{'Initial Investment': '$69,000.00', 'Expected Final Portfolio Value': '$88,057.10', 'Median Final Portfolio Value': '$85,640.71', 'Standard Deviation of Final Portfolio Value': '$18,482.07', 'Value at Risk (VaR 95%)': '$7,240.88', 'Conditional Value at Risk (CVaR 95%)': '$13,041.07', 'Probability of Loss': '11.60%', 'Sharpe Ratio': '1.0311'}, array([3.82004707e+03, 2.29994042e+04, 2.65265648e+03, 1.32133074e-11,
       1.14254177e+04, 0.00000000e+00, 2.81024746e+04])]"
MID006139,Kaitlyn Limmel,12-12-1975,Central Queensland University,Female,Vincentia,New South Wales,Y,"['ALPA', 'OCST', 'NEK', 'EG']",50000,"{'Initial Investment': '$50,000.00', 'Expected Final Portfolio Value': '$62,661.22', 'Median Final Portfolio Value': '$61,575.16', 'Standard Deviation of Final Portfolio Value': '$13,113.34', 'Value at Risk (VaR 95%)': '$7,756.74', 'Conditional Value at Risk (CVaR 95%)': '$10,663.18', 'Probability of Loss': '15.80%', 'Sharpe Ratio': '0.9655'}","[{'Initial Investment': '$50,000.00', 'Expected Final Portfolio Value': '$64,896.26', 'Median Final Portfolio Value': '$64,116.38', 'Standard Deviation of Final Portfolio Value': '$13,354.35', 'Value at Risk (VaR 95%)': '$5,286.69', 'Conditional Value at Risk (CVaR 95%)': '$8,383.70', 'Probability of Loss': '13.60%', 'Sharpe Ratio': '1.1155'}, array([2.76815005e+03, 1.66662349e+04, 1.92221484e+03, 9.57486044e-12,
       8.27928815e+03, 0.00000000e+00, 2.03641120e+04])]"
MID006140,Haydee Liukko,16-03-1994,Central Queensland University,Female,Wilton,New South Wales,N,"['ALPA', 'SM', 'ABT', 'AB']",45000,"{'Initial Investment': '$45,000.00', 'Expected Final Portfolio Value': '$56,086.66', 'Median Final Portfolio Value': '$54,956.08', 'Standard Deviation of Final Portfolio Value': '$11,988.40', 'Value at Risk (VaR 95%)': '$5,460.68', 'Conditional Value at Risk (CVaR 95%)': '$8,250.47', 'Probability of Loss': '15.60%', 'Sharpe Ratio': '0.9248'}","[{'Initial Investment': '$45,000.00', 'Expected Final Portfolio Value': '$57,595.98', 'Median Final Portfolio Value': '$56,363.24', 'Standard Deviation of Final Portfolio Value': '$11,985.76', 'Value at Risk (VaR 95%)': '$5,177.90', 'Conditional Value at Risk (CVaR 95%)': '$8,476.16', 'Probability of Loss': '14.20%', 'Sharpe Ratio': '1.0509'}, array([2.49133505e+03, 1.49996114e+04, 1.72999336e+03, 8.61737439e-12,
       7.45135934e+03, 0.00000000e+00, 1.83277008e+04])]"
MID006141,Lucina Wolfgramm,25-01-1984,Edith Cowan University,Female,Culburra,New South Wales,N,"['JJN', 'FWC', 'TCA', 'PG', 'MPJ']",1000,"{'Initial Investment': '$1,000.00', 'Expected Final Portfolio Value': '$1,230.92', 'Median Final Portfolio Value': '$1,189.79', 'Standard Deviation of Final Portfolio Value': '$255.46', 'Value at Risk (VaR 95%)': '$113.54', 'Conditional Value at Risk (CVaR 95%)': '$200.65', 'Probability of Loss': '17.80%', 'Sharpe Ratio': '0.9039'}","[{'Initial Investment': '$1,000.00', 'Expected Final Portfolio Value': '$1,296.44', 'Median Final Portfolio Value': '$1,260.59', 'Standard Deviation of Final Portfolio Value': '$284.68', 'Value at Risk (VaR 95%)': '$136.78', 'Conditional Value at Risk (CVaR 95%)': '$208.04', 'Probability of Loss': '14.40%', 'Sharpe Ratio': '1.0413'}, array([5.53630010e+01, 3.33324698e+02, 3.84442969e+01, 1.91497209e-13,
       1.65585763e+02, 0.00000000e+00, 4.07282241e+02])]"
MID006142,Alecia Stockham,27-12-1992,University of South Australia,Female,Morwell,Victoria,N,"['ABT', 'TCA', 'ONH', 'GS']",49000,"{'Initial Investment': '$49,000.00', 'Expected Final Portfolio Value': '$61,585.77', 'Median Final Portfolio Value': '$60,770.66', 'Standard Deviation of Final Portfolio Value': '$12,790.13', 'Value at Risk (VaR 95%)': '$5,398.11', 'Conditional Value at Risk (CVaR 95%)': '$7,846.83', 'Probability of Loss': '16.60%', 'Sharpe Ratio': '0.9840'}","[{'Initial Investment': '$49,000.00', 'Expected Final Portfolio Value': '$63,441.78', 'Median Final Portfolio Value': '$62,567.74', 'Standard Deviation of Final Portfolio Value': '$13,860.90', 'Value at Risk (VaR 95%)': '$5,277.53', 'Conditional Value at Risk (CVaR 95%)': '$9,291.02', 'Probability of Loss': '13.60%', 'Sharpe Ratio': '1.0419'}, array([2.71278705e+03, 1.63329102e+04, 1.88377055e+03, 9.38336323e-12,
       8.11370239e+03, 0.00000000e+00, 1.99568298e+04])]"
MID006143,Noah Malet,23-04-1968,Australian Catholic University,Male,Euroa,Victoria,N,"['JJN', 'MZNA', 'ALPA', 'ONH', 'OK', 'ABC', 'DMC', 'MTFS', 'TCA']",1000,"{'Initial Investment': '$1,000.00', 'Expected Final Portfolio Value': '$1,235.17', 'Median Final Portfolio Value': '$1,215.98', 'Standard Deviation of Final Portfolio Value': '$259.42', 'Value at Risk (VaR 95%)': '$135.36', 'Conditional Value at Risk (CVaR 95%)': '$195.67', 'Probability of Loss': '19.00%', 'Sharpe Ratio': '0.9065'}","[{'Initial Investment': '$1,000.00', 'Expected Final Portfolio Value': '$1,284.17', 'Median Final Portfolio Value': '$1,236.88', 'Standard Deviation of Final Portfolio Value': '$280.42', 'Value at Risk (VaR 95%)': '$99.35', 'Conditional Value at Risk (CVaR 95%)': '$160.92', 'Probability of Loss': '12.60%', 'Sharpe Ratio': '1.0134'}, array([5.53630010e+01, 3.33324698e+02, 3.84442969e+01, 1.91497209e-13,
       1.65585763e+02, 0.00000000e+00, 4.07282241e+02])]"
MID006144,Rasheeda Batman,14-09-2000,University of Technology Sydney,Female,Gladstone,Queensland,N,"['MZNA', 'ALPA', 'EPF', 'NTIC', 'MPJ', 'PG', 'KRM']",1000,"{'Initial Investment': '$1,000.00', 'Expected Final Portfolio Value': '$1,231.23', 'Median Final Portfolio Value': '$1,193.96', 'Standard Deviation of Final Portfolio Value': '$259.93', 'Value at Risk (VaR 95%)': '$138.72', 'Conditional Value at Risk (CVaR 95%)': '$221.17', 'Probability of Loss': '17.00%', 'Sharpe Ratio': '0.8896'}","[{'Initial Investment': '$1,000.00', 'Expected Final Portfolio Value': '$1,292.68', 'Median Final Portfolio Value': '$1,241.07', 'Standard Deviation of Final Portfolio Value': '$290.36', 'Value at Risk (VaR 95%)': '$93.03', 'Conditional Value at Risk (CVaR 95%)': '$163.62', 'Probability of Loss': '15.00%', 'Sharpe Ratio': '1.0080'}, array([5.53630010e+01, 3.33324698e+02, 3.84442969e+01, 1.91497209e-13,
       1.65585763e+02, 0.00000000e+00, 4.07282241e+02])]"
MID006145,Taryn Arias,16-02-1972,James Cook University,Female,Hobart,Tasmania,N,"['PEP', 'MTFS']",45000,"{'Initial Investment': '$45,000.00', 'Expected Final Portfolio Value': '$55,529.63', 'Median Final Portfolio Value': '$54,694.29', 'Standard Deviation of Final Portfolio Value': '$10,611.05', 'Value at Risk (VaR 95%)': '$6,150.70', 'Conditional Value at Risk (CVaR 95%)': '$9,111.73', 'Probability of Loss': '15.60%', 'Sharpe Ratio': '0.9923'}","[{'Initial Investment': '$45,000.00', 'Expected Final Portfolio Value': '$58,723.92', 'Median Final Portfolio Value': '$57,119.43', 'Standard Deviation of Final Portfolio Value': '$12,692.16', 'Value at Risk (VaR 95%)': '$4,337.93', 'Conditional Value at Risk (CVaR 95%)': '$8,154.14', 'Probability of Loss': '11.40%', 'Sharpe Ratio': '1.0813'}, array([2.49133505e+03, 1.49996114e+04, 1.72999336e+03, 8.61737439e-12,
       7.45135934e+03, 0.00000000e+00, 1.83277008e+04])]"
MID006146,Xochitl Rhymes,23-03-1985,University of Canberra,Female,Latrobe,Tasmania,N,"['MZNA', 'ONH', 'NTIC', 'PEP']",5000,"{'Initial Investment': '$5,000.00', 'Expected Final Portfolio Value': '$6,180.22', 'Median Final Portfolio Value': '$5,987.63', 'Standard Deviation of Final Portfolio Value': '$1,322.21', 'Value at Risk (VaR 95%)': '$628.39', 'Conditional Value at Risk (CVaR 95%)': '$1,059.17', 'Probability of Loss': '18.20%', 'Sharpe Ratio': '0.8926'}","[{'Initial Investment': '$5,000.00', 'Expected Final Portfolio Value': '$6,368.57', 'Median Final Portfolio Value': '$6,251.06', 'Standard Deviation of Final Portfolio Value': '$1,373.17', 'Value at Risk (VaR 95%)': '$596.11', 'Conditional Value at Risk (CVaR 95%)': '$861.34', 'Probability of Loss': '15.80%', 'Sharpe Ratio': '0.9967'}, array([2.76815005e+02, 1.66662349e+03, 1.92221484e+02, 9.57486044e-13,
       8.27928815e+02, 0.00000000e+00, 2.03641120e+03])]"
MID006147,Sabra Ostolaza,24-12-1986,The University of Melbourne,Male,Bongaree,Queensland,Y,"['JJN', 'MTFS', 'MPJ', 'ABC', 'GMNA', 'CCSO', 'NEK', 'OK']",1000000,"{'Initial Investment': '$1,000,000.00', 'Expected Final Portfolio Value': '$1,231,611.08', 'Median Final Portfolio Value': '$1,205,730.90', 'Standard Deviation of Final Portfolio Value': '$255,324.63', 'Value at Risk (VaR 95%)': '$140,730.68', 'Conditional Value at Risk (CVaR 95%)': '$191,917.71', 'Probability of Loss': '19.60%', 'Sharpe Ratio': '0.9071'}","[{'Initial Investment': '$1,000,000.00', 'Expected Final Portfolio Value': '$1,288,229.24', 'Median Final Portfolio Value': '$1,246,685.00', 'Standard Deviation of Final Portfolio Value': '$281,754.95', 'Value at Risk (VaR 95%)': '$118,482.21', 'Conditional Value at Risk (CVaR 95%)': '$204,103.51', 'Probability of Loss': '11.40%', 'Sharpe Ratio': '1.0230'}, array([5.53630010e+04, 3.33324698e+05, 3.84442969e+04, 1.91497209e-10,
       1.65585763e+05, 0.00000000e+00, 4.07282241e+05])]"
MID006148,Lezlie Brucato,11-07-1967,RMIT University,Male,Renmark,South Australia,N,"['LTSA', 'TWM', 'GMNA', 'TCA', 'MTFS', 'FWC']",50000,"{'Initial Investment': '$50,000.00', 'Expected Final Portfolio Value': '$61,347.73', 'Median Final Portfolio Value': '$59,540.24', 'Standard Deviation of Final Portfolio Value': '$12,904.46', 'Value at Risk (VaR 95%)': '$6,384.73', 'Conditional Value at Risk (CVaR 95%)': '$9,303.75', 'Probability of Loss': '19.20%', 'Sharpe Ratio': '0.8794'}","[{'Initial Investment': '$50,000.00', 'Expected Final Portfolio Value': '$63,722.90', 'Median Final Portfolio Value': '$63,034.90', 'Standard Deviation of Final Portfolio Value': '$14,102.44', 'Value at Risk (VaR 95%)': '$7,047.76', 'Conditional Value at Risk (CVaR 95%)': '$10,441.23', 'Probability of Loss': '15.80%', 'Sharpe Ratio': '0.9731'}, array([2.76815005e+03, 1.66662349e+04, 1.92221484e+03, 9.57486044e-12,
       8.27928815e+03, 0.00000000e+00, 2.03641120e+04])]"
MID006149,Roselle Waycott,08-05-2000,Victoria University,Male,Lakes Entrance,Victoria,Y,"['AB', 'ABC', 'MMM', 'KRM']",69000,"{'Initial Investment': '$69,000.00', 'Expected Final Portfolio Value': '$86,336.00', 'Median Final Portfolio Value': '$84,231.66', 'Standard Deviation of Final Portfolio Value': '$17,222.66', 'Value at Risk (VaR 95%)': '$7,148.15', 'Conditional Value at Risk (CVaR 95%)': '$10,534.86', 'Probability of Loss': '14.80%', 'Sharpe Ratio': '1.0066'}","[{'Initial Investment': '$69,000.00', 'Expected Final Portfolio Value': '$87,957.33', 'Median Final Portfolio Value': '$85,588.87', 'Standard Deviation of Final Portfolio Value': '$18,612.31', 'Value at Risk (VaR 95%)': '$7,185.14', 'Conditional Value at Risk (CVaR 95%)': '$12,021.45', 'Probability of Loss': '14.20%', 'Sharpe Ratio': '1.0185'}, array([3.82004707e+03, 2.29994042e+04, 2.65265648e+03, 1.32133074e-11,
       1.14254177e+04, 0.00000000e+00, 2.81024746e+04])]"
MID006150,Judy Rentfro,27-10-1980,The University of Adelaide,Female,Salamander Bay,New South Wales,Y,"['ABC', 'NTIC', 'EG', 'JJN']",88000,"{'Initial Investment': '$88,000.00', 'Expected Final Portfolio Value': '$107,588.51', 'Median Final Portfolio Value': '$103,894.08', 'Standard Deviation of Final Portfolio Value': '$22,438.16', 'Value at Risk (VaR 95%)': '$9,411.41', 'Conditional Value at Risk (CVaR 95%)': '$15,884.51', 'Probability of Loss': '18.60%', 'Sharpe Ratio': '0.8730'}","[{'Initial Investment': '$88,000.00', 'Expected Final Portfolio Value': '$112,017.29', 'Median Final Portfolio Value': '$108,090.95', 'Standard Deviation of Final Portfolio Value': '$23,563.43', 'Value at Risk (VaR 95%)': '$7,759.94', 'Conditional Value at Risk (CVaR 95%)': '$13,473.41', 'Probability of Loss': '13.80%', 'Sharpe Ratio': '1.0193'}, array([4.87194409e+03, 2.93325734e+04, 3.38309813e+03, 1.68517544e-11,
       1.45715471e+04, 0.00000000e+00, 3.58408372e+04])]"
MID006151,Gwenn Cantres,08-04-1985,Southern Cross University,Female,Trafalgar,Victoria,Y,"['HD', 'NEK', 'OK', 'AB', 'OCST']",50000,"{'Initial Investment': '$50,000.00', 'Expected Final Portfolio Value': '$60,956.34', 'Median Final Portfolio Value': '$59,626.92', 'Standard Deviation of Final Portfolio Value': '$12,362.37', 'Value at Risk (VaR 95%)': '$6,284.61', 'Conditional Value at Risk (CVaR 95%)': '$9,207.26', 'Probability of Loss': '17.80%', 'Sharpe Ratio': '0.8863'}","[{'Initial Investment': '$50,000.00', 'Expected Final Portfolio Value': '$64,507.01', 'Median Final Portfolio Value': '$63,239.15', 'Standard Deviation of Final Portfolio Value': '$13,827.11', 'Value at Risk (VaR 95%)': '$4,751.08', 'Conditional Value at Risk (CVaR 95%)': '$8,717.37', 'Probability of Loss': '13.00%', 'Sharpe Ratio': '1.0492'}, array([2.76815005e+03, 1.66662349e+04, 1.92221484e+03, 9.57486044e-12,
       8.27928815e+03, 0.00000000e+00, 2.03641120e+04])]"
MID006152,Shalon Colaizzo,18-12-1998,Australian National University,Female,Terranora,New South Wales,Y,"['PEP', 'KRM', 'FWC', 'EPF', 'DMC']",10000,"{'Initial Investment': '$10,000.00', 'Expected Final Portfolio Value': '$12,233.36', 'Median Final Portfolio Value': '$12,101.02', 'Standard Deviation of Final Portfolio Value': '$2,497.98', 'Value at Risk (VaR 95%)': '$1,580.84', 'Conditional Value at Risk (CVaR 95%)': '$2,298.77', 'Probability of Loss': '18.80%', 'Sharpe Ratio': '0.8941'}","[{'Initial Investment': '$10,000.00', 'Expected Final Portfolio Value': '$13,157.01', 'Median Final Portfolio Value': '$12,854.73', 'Standard Deviation of Final Portfolio Value': '$2,795.56', 'Value at Risk (VaR 95%)': '$871.54', 'Conditional Value at Risk (CVaR 95%)': '$1,697.06', 'Probability of Loss': '11.60%', 'Sharpe Ratio': '1.1293'}, array([5.53630010e+02, 3.33324698e+03, 3.84442969e+02, 1.91497209e-12,
       1.65585763e+03, 0.00000000e+00, 4.07282241e+03])]"
